,0,1
0,This,"[0.0006399818309794434, 0.0005185803174478651, 0.0007152860788138289]"
1,process,"[2.363531447454906e-05, 2.5937991956721596e-05, 2.475704178849762e-05]"
2,however,"[0.00047658350641458213, 0.0002128513663068809, 0.0004696419422735313]"
3,afforded,"[4.5339866284683176e-05, 1.017405086465508e-05, 4.7641757670422327e-05]"
4,means,"[0.0002697725708871572, 0.00015064579819216195, 0.00027501982740910823]"
5,ascertaining,"[5.418719359278674e-06, 1.095549979516253e-06, 4.7482317253716725e-06]"
6,dimensions,"[1.1471551694987944e-05, 4.050314621715436e-06, 1.480291573323867e-05]"
7,dungeon,"[1.0850716948466884e-05, 3.5944808449571473e-06, 1.2337931055203386e-05]"
8,might,"[0.000818493408256803, 0.0007059526996630611, 0.0008100457765211008]"
9,make,"[0.0005996431335171854, 0.000662732236157877, 0.0005918235907110533]"
10,circuit,"[9.606705568578697e-06, 6.057816797306948e-06, 8.525921071180309e-06]"
11,return,"[0.000243838637040674, 0.00015258618672801688, 0.00024127394901466017]"
12,point,"[0.0001821807679582641, 0.00019555340545731738, 0.00017914498886583666]"
13,whence,"[5.3491110355191104e-05, 2.0406236823570605e-05, 6.897688715406203e-05]"
14,set,"[0.00028780064365657216, 0.00030297215297733516, 0.0002962771165919931]"
15,without,"[0.0007701165450271219, 0.0005775044502859765, 0.0008008053930672375]"
16,aware,"[6.860511216059835e-05, 6.525514000906807e-05, 5.4964203962682455e-05]"
17,fact,"[0.00014708181267699481, 0.0002435260605786673, 0.00011610908519574686]"
18,perfectly,"[7.823014262116472e-05, 7.359786744046053e-05, 7.019109206770449e-05]"
19,uniform,"[1.6718525040976768e-05, 2.4027834170379776e-05, 1.7174056474208267e-05]"
20,seemed,"[0.00035174291604727676, 0.0005456564461135051, 0.00033247559928751896]"
21,wall,"[8.46698354011592e-05, 0.00011757271479864633, 8.604612364586884e-05]"
